,timestamp,host,host_ip,ping_size,time,ttl,min,avg,max,stddev
0,2024-03-31 13:59:56,api.upbit.com,3.38.54.27,64,7.293,238,7.293,7.293,7.293,
1,2024-03-31 13:59:56,www.bithumb.com,23.43.165.80,64,6.876,51,6.876,6.876,6.876,0.0
2,2024-03-31 13:59:56,api.bitflyer.com,104.76.93.43,64,5.412,51,5.412,5.412,5.412,
3,2024-03-31 13:59:56,www.upbit.com,104.17.186.185,64,6.664,52,6.664,6.664,6.664,0.0
4,2024-03-31 13:59:56,api.binance.com,52.84.252.75,64,6.417,244,6.417,6.417,6.417,0.0
5,2024-03-31 13:59:56,api.bithumb.com,23.207.176.242,64,5.029,51,5.029,5.029,5.029,0.0
6,2024-03-31 13:59:58,api.upbit.com,3.38.54.27,64,8.43,238,8.43,8.43,8.43,
7,2024-03-31 13:59:58,www.bithumb.com,23.43.165.80,64,5.698,51,5.698,5.698,5.698,
8,2024-03-31 13:59:58,api.bithumb.com,23.207.176.242,64,5.3,51,5.3,5.3,5.3,0.0
9,2024-03-31 13:59:58,api.bitflyer.com,104.76.93.43,64,4.883,51,4.883,4.883,4.883,0.0
10,2024-03-31 13:59:58,www.upbit.com,104.17.186.185,64,6.714,52,6.714,6.714,6.714,0.0
11,2024-03-31 13:59:58,api.binance.com,52.84.252.75,64,5.185,244,5.185,5.185,5.185,0.0
12,2024-03-31 13:59:59,api.upbit.com,3.38.54.27,64,5.436,238,5.436,5.436,5.436,0.0
13,2024-03-31 13:59:59,www.bithumb.com,23.43.165.80,64,7.239,51,7.239,7.239,7.239,0.0
14,2024-03-31 13:59:59,api.bithumb.com,23.207.176.242,64,5.159,51,5.159,5.159,5.159,0.0
15,2024-03-31 13:59:59,api.bitflyer.com,104.76.93.43,64,4.227,51,4.227,4.227,4.227,
16,2024-03-31 13:59:59,api.binance.com,52.84.252.75,64,5.172,244,5.172,5.172,5.172,0.0
17,2024-03-31 13:59:59,www.upbit.com,104.17.186.185,64,6.755,52,6.755,6.755,6.755,
18,2024-03-31 14:00:00,api.bitflyer.com,104.76.93.43,64,7.129,51,7.129,7.129,7.129,
19,2024-03-31 14:00:00,api.upbit.com,3.38.54.27,64,6.302,238,6.302,6.302,6.302,
20,2024-03-31 14:00:00,www.bithumb.com,23.43.165.80,64,6.298,51,6.298,6.298,6.298,0.0
21,2024-03-31 14:00:00,www.upbit.com,104.17.186.185,64,7.146,52,7.146,7.146,7.146,
22,2024-03-31 14:00:00,api.binance.com,52.84.252.75,64,5.822,244,5.822,5.822,5.822,0.0
