price,quantity,type,timestamp
4455000,1.768,0,2024-04-18 00:00:04.095
4454000,45.2526,0,2024-04-18 00:00:04.095
4453000,4.7676,0,2024-04-18 00:00:04.095
4452000,1.4179,0,2024-04-18 00:00:04.095
4451000,1,0,2024-04-18 00:00:04.095
4461000,0.34,1,2024-04-18 00:00:04.095
4462000,18.9787,1,2024-04-18 00:00:04.095
4463000,4,1,2024-04-18 00:00:04.095
4464000,6.1288,1,2024-04-18 00:00:04.095
4465000,30.232,1,2024-04-18 00:00:04.095
4454000,30.1164,0,2024-04-18 00:00:09.273
4453000,16.7897,0,2024-04-18 00:00:09.273
4452000,3.654,0,2024-04-18 00:00:09.273
4451000,1,0,2024-04-18 00:00:09.273
4450000,3.8206,0,2024-04-18 00:00:09.273
4456000,9.4011,1,2024-04-18 00:00:09.273
4462000,16.3351,1,2024-04-18 00:00:09.273
4463000,4.4266,1,2024-04-18 00:00:09.273
4464000,4.4371,1,2024-04-18 00:00:09.273
4465000,4,1,2024-04-18 00:00:09.273
4454000,0.007,0,2024-04-18 00:00:14.417
4453000,0.357,0,2024-04-18 00:00:14.417
4452000,43.8997,0,2024-04-18 00:00:14.417
4451000,1.4301,0,2024-04-18 00:00:14.417
4450000,7.1535,0,2024-04-18 00:00:14.417
4455000,0,1,2024-04-18 00:00:14.417
4460000,0.1022,1,2024-04-18 00:00:14.417
4461000,19.7742,1,2024-04-18 00:00:14.417
4462000,5.4116,1,2024-04-18 00:00:14.417
4463000,6.6627,1,2024-04-18 00:00:14.417
4455000,2.2651,0,2024-04-18 00:00:19.528
4454000,15.4263,0,2024-04-18 00:00:19.528
4453000,0.4353,0,2024-04-18 00:00:19.528
4452000,1.4207,0,2024-04-18 00:00:19.528
4451000,1.3569,0,2024-04-18 00:00:19.528
4461000,2.2381,1,2024-04-18 00:00:19.528
4462000,18.9787,1,2024-04-18 00:00:19.528
4463000,4.356,1,2024-04-18 00:00:19.528
4464000,4.4406,1,2024-04-18 00:00:19.528
4465000,4,1,2024-04-18 00:00:19.528
4456000,2.2665,0,2024-04-18 00:00:24.666
4455000,15.447,0,2024-04-18 00:00:24.666
4454000,3.6624,0,2024-04-18 00:00:24.666
4453000,2.7758,0,2024-04-18 00:00:24.666
4452000,1.3571,0,2024-04-18 00:00:24.666
4462000,3.3175,1,2024-04-18 00:00:24.666
4463000,15,1,2024-04-18 00:00:24.666
4464000,5.3405,1,2024-04-18 00:00:24.666
4465000,4.427,1,2024-04-18 00:00:24.666
4466000,4.4362,1,2024-04-18 00:00:24.666
4455000,0.4466,0,2024-04-18 00:00:29.776
4454000,2.6624,0,2024-04-18 00:00:29.776
4453000,1.4353,0,2024-04-18 00:00:29.776
4452000,1,0,2024-04-18 00:00:29.776
4451000,4.69,0,2024-04-18 00:00:29.776
4460000,0.3569,1,2024-04-18 00:00:29.776
4461000,8.4011,1,2024-04-18 00:00:29.776
4462000,1.0809,1,2024-04-18 00:00:29.776
4463000,15,1,2024-04-18 00:00:29.776
4464000,4.4447,1,2024-04-18 00:00:29.776
4455000,0.02,0,2024-04-18 00:00:34.927
4454000,0.007,0,2024-04-18 00:00:34.927
4452000,15,0,2024-04-18 00:00:34.927
4451000,31.5909,0,2024-04-18 00:00:34.927
4450000,3.4427,0,2024-04-18 00:00:34.927
4460000,0.3563,1,2024-04-18 00:00:34.927
4461000,29.075,1,2024-04-18 00:00:34.927
4462000,5.5041,1,2024-04-18 00:00:34.927
4463000,4.4228,1,2024-04-18 00:00:34.927
4464000,8.1347,1,2024-04-18 00:00:34.927
4457000,0.2307,0,2024-04-18 00:00:40.065
4456000,0.0448,0,2024-04-18 00:00:40.065
4455000,0.02,0,2024-04-18 00:00:40.065
4454000,0.007,0,2024-04-18 00:00:40.065
4453000,2.0173,0,2024-04-18 00:00:40.065
4460000,0.3563,1,2024-04-18 00:00:40.065
4461000,29.0896,1,2024-04-18 00:00:40.065
4462000,5.0809,1,2024-04-18 00:00:40.065
4463000,4.5316,1,2024-04-18 00:00:40.065
4464000,4.4447,1,2024-04-18 00:00:40.065
4457000,0.2754,0,2024-04-18 00:00:45.200
4456000,0.0448,0,2024-04-18 00:00:45.200
4455000,1.8644,0,2024-04-18 00:00:45.200
4454000,15.4566,0,2024-04-18 00:00:45.200
4453000,5.6656,0,2024-04-18 00:00:45.200
4460000,0.0708,1,2024-04-18 00:00:45.200
4461000,8.4011,1,2024-04-18 00:00:45.200
4462000,1.0809,1,2024-04-18 00:00:45.200
4463000,3,1,2024-04-18 00:00:45.200
4464000,21.1419,1,2024-04-18 00:00:45.200
4458000,3.69,0,2024-04-18 00:00:50.332
4457000,3.69,0,2024-04-18 00:00:50.332
4456000,15.5204,0,2024-04-18 00:00:50.332
4455000,2.1437,0,2024-04-18 00:00:50.332
4454000,3.6932,0,2024-04-18 00:00:50.332
4460000,0.0708,1,2024-04-18 00:00:50.332
4461000,8.4011,1,2024-04-18 00:00:50.332
4462000,1.0809,1,2024-04-18 00:00:50.332
4464000,21.69,1,2024-04-18 00:00:50.332
4465000,4,1,2024-04-18 00:00:50.332
4458000,0.0355,0,2024-04-18 00:00:55.444
4456000,0.0844,0,2024-04-18 00:00:55.444
4454000,15.007,0,2024-04-18 00:00:55.444
4453000,4.2997,0,2024-04-18 00:00:55.444
4452000,1.7652,0,2024-04-18 00:00:55.444
4459000,0.1555,1,2024-04-18 00:00:55.444
4460000,0.0708,1,2024-04-18 00:00:55.444
4461000,8.4011,1,2024-04-18 00:00:55.444
4462000,19.4361,1,2024-04-18 00:00:55.444
4463000,4.4392,1,2024-04-18 00:00:55.444
4458000,0.0355,0,2024-04-18 00:01:00.568
4456000,0.0844,0,2024-04-18 00:01:00.568
4455000,1.8368,0,2024-04-18 00:01:00.568
4454000,15.3638,0,2024-04-18 00:01:00.568
4453000,4.2997,0,2024-04-18 00:01:00.568
4460000,0.0508,1,2024-04-18 00:01:00.568
4461000,8.4011,1,2024-04-18 00:01:00.568
4462000,19.0796,1,2024-04-18 00:01:00.568
4463000,8.1236,1,2024-04-18 00:01:00.568
4464000,4.4308,1,2024-04-18 00:01:00.568
4458000,0.0355,0,2024-04-18 00:01:05.736
4456000,15.5264,0,2024-04-18 00:01:05.736
4454000,2.3474,0,2024-04-18 00:01:05.736
4453000,5.2965,0,2024-04-18 00:01:05.736
4452000,1.4242,0,2024-04-18 00:01:05.736
4461000,8.4011,1,2024-04-18 00:01:05.736
4462000,0.9787,1,2024-04-18 00:01:05.736
4463000,3.1009,1,2024-04-18 00:01:05.736
4464000,19.3565,1,2024-04-18 00:01:05.736
4465000,4,1,2024-04-18 00:01:05.736
4460000,15.629,0,2024-04-18 00:01:10.842
4459000,2.1322,0,2024-04-18 00:01:10.842
4458000,4.0764,0,2024-04-18 00:01:10.842
4457000,1.436,0,2024-04-18 00:01:10.842
4456000,1.0844,0,2024-04-18 00:01:10.842
4461000,4.1919,1,2024-04-18 00:01:10.842
4462000,0.9787,1,2024-04-18 00:01:10.842
4466000,0.0012,1,2024-04-18 00:01:10.842
4468000,7.046,1,2024-04-18 00:01:10.842
4469000,19,1,2024-04-18 00:01:10.842
4460000,15.6649,0,2024-04-18 00:01:16.059
4459000,1.7927,0,2024-04-18 00:01:16.059
4458000,1.8398,0,2024-04-18 00:01:16.059
4457000,1.436,0,2024-04-18 00:01:16.059
4456000,1.0844,0,2024-04-18 00:01:16.059
4461000,1.6051,1,2024-04-18 00:01:16.059
4462000,0.9787,1,2024-04-18 00:01:16.059
4466000,0.0012,1,2024-04-18 00:01:16.059
4469000,18,1,2024-04-18 00:01:16.059
4470000,4.3556,1,2024-04-18 00:01:16.059
4463000,0.4395,0,2024-04-18 00:01:21.195
4462000,0.8067,0,2024-04-18 00:01:21.195
4461000,21.5458,0,2024-04-18 00:01:21.195
4460000,0.6649,0,2024-04-18 00:01:21.195
