price,quantity,type,timestamp
93821000,0.0539,0,2024-04-19 00:00:12.883
93820000,0.312,0,2024-04-19 00:00:12.883
93815000,0.0011,0,2024-04-19 00:00:12.883
93811000,0.0687,0,2024-04-19 00:00:12.883
93787000,0.352,0,2024-04-19 00:00:12.883
93834000,0.0855,1,2024-04-19 00:00:12.883
93835000,0.0131,1,2024-04-19 00:00:12.883
93837000,0.0017,1,2024-04-19 00:00:12.883
93838000,0.0009,1,2024-04-19 00:00:12.883
93847000,0.0007,1,2024-04-19 00:00:12.883
93814000,0.0296,0,2024-04-19 00:00:18.248
93805000,0.0616,0,2024-04-19 00:00:18.248
93774000,0.0542,0,2024-04-19 00:00:18.248
93773000,0.4072,0,2024-04-19 00:00:18.248
93772000,0.0106,0,2024-04-19 00:00:18.248
93851000,0.0133,1,2024-04-19 00:00:18.248
93853000,0.713,1,2024-04-19 00:00:18.248
93855000,0.1065,1,2024-04-19 00:00:18.248
93857000,0.001,1,2024-04-19 00:00:18.248
93863000,0.0001,1,2024-04-19 00:00:18.248
93823000,0.1219,0,2024-04-19 00:00:23.366
93817000,0.0625,0,2024-04-19 00:00:23.366
93814000,0.0296,0,2024-04-19 00:00:23.366
93805000,0.0618,0,2024-04-19 00:00:23.366
93804000,0.0302,0,2024-04-19 00:00:23.366
93853000,0.3243,1,2024-04-19 00:00:23.366
93855000,0.0001,1,2024-04-19 00:00:23.366
93857000,0.001,1,2024-04-19 00:00:23.366
93863000,0.0001,1,2024-04-19 00:00:23.366
93864000,0,1,2024-04-19 00:00:23.366
93893000,0.0569,0,2024-04-19 00:00:28.486
93892000,0.0767,0,2024-04-19 00:00:28.486
93891000,0.0598,0,2024-04-19 00:00:28.486
93890000,0.0305,0,2024-04-19 00:00:28.486
93827000,0.0611,0,2024-04-19 00:00:28.486
93966000,0.0119,1,2024-04-19 00:00:28.486
93980000,0.0655,1,2024-04-19 00:00:28.486
93983000,0.0015,1,2024-04-19 00:00:28.486
93985000,0.0007,1,2024-04-19 00:00:28.486
93988000,0.0005,1,2024-04-19 00:00:28.486
93966000,0.0106,0,2024-04-19 00:00:33.851
93894000,0.0002,0,2024-04-19 00:00:33.851
93893000,0.1,0,2024-04-19 00:00:33.851
93892000,0.0557,0,2024-04-19 00:00:33.851
93890000,0.0305,0,2024-04-19 00:00:33.851
93980000,0.0605,1,2024-04-19 00:00:33.851
93983000,0.0015,1,2024-04-19 00:00:33.851
93985000,0.0007,1,2024-04-19 00:00:33.851
93988000,0.0005,1,2024-04-19 00:00:33.851
93989000,0.0025,1,2024-04-19 00:00:33.851
93894000,1.0789,0,2024-04-19 00:00:39.062
93893000,0.0002,0,2024-04-19 00:00:39.062
93827000,0.0611,0,2024-04-19 00:00:39.062
93822000,0.0092,0,2024-04-19 00:00:39.062
93811000,0.0316,0,2024-04-19 00:00:39.062
93962000,0.0626,1,2024-04-19 00:00:39.062
93963000,0.0632,1,2024-04-19 00:00:39.062
93964000,0.1674,1,2024-04-19 00:00:39.062
93965000,0.0646,1,2024-04-19 00:00:39.062
93966000,0.0525,1,2024-04-19 00:00:39.062
93894000,0.0012,0,2024-04-19 00:00:44.168
93834000,0.0559,0,2024-04-19 00:00:44.168
93822000,0.0092,0,2024-04-19 00:00:44.168
93811000,0.0012,0,2024-04-19 00:00:44.168
93808000,0.0627,0,2024-04-19 00:00:44.168
93939000,0.0729,1,2024-04-19 00:00:44.168
93940000,0.061,1,2024-04-19 00:00:44.168
93944000,0.0569,1,2024-04-19 00:00:44.168
93963000,2.7222,1,2024-04-19 00:00:44.168
93966000,0.0525,1,2024-04-19 00:00:44.168
93896000,0.0001,0,2024-04-19 00:00:49.265
93824000,0.1304,0,2024-04-19 00:00:49.265
93823000,0.0626,0,2024-04-19 00:00:49.265
93822000,0.0092,0,2024-04-19 00:00:49.265
93811000,0.0012,0,2024-04-19 00:00:49.265
93936000,0.0671,1,2024-04-19 00:00:49.265
93937000,0.0516,1,2024-04-19 00:00:49.265
93939000,0.0548,1,2024-04-19 00:00:49.265
93940000,0.0021,1,2024-04-19 00:00:49.265
93946000,0.0002,1,2024-04-19 00:00:49.265
93822000,0.0092,0,2024-04-19 00:00:54.366
93811000,0.0108,0,2024-04-19 00:00:54.366
93800000,0.0003,0,2024-04-19 00:00:54.366
93790000,0.0005,0,2024-04-19 00:00:54.366
93770000,0.0001,0,2024-04-19 00:00:54.366
93925000,0.0587,1,2024-04-19 00:00:54.366
93926000,0.0218,1,2024-04-19 00:00:54.366
93927000,0.0643,1,2024-04-19 00:00:54.366
93928000,0.0538,1,2024-04-19 00:00:54.366
93929000,0.0613,1,2024-04-19 00:00:54.366
93822000,0.0092,0,2024-04-19 00:00:59.520
93819000,0.0004,0,2024-04-19 00:00:59.520
93814000,0.0247,0,2024-04-19 00:00:59.520
93811000,0.0108,0,2024-04-19 00:00:59.520
93800000,0.0003,0,2024-04-19 00:00:59.520
93884000,0.0191,1,2024-04-19 00:00:59.520
