price,quantity,type,timestamp
38370,27.4801,0,2024-04-19 00:00:09.738
38360,89.0936,0,2024-04-19 00:00:09.738
38350,100,0,2024-04-19 00:00:09.738
38340,177.4801,0,2024-04-19 00:00:09.738
38330,256.169,0,2024-04-19 00:00:09.738
38400,43.056,1,2024-04-19 00:00:09.738
38430,66.5113,1,2024-04-19 00:00:09.738
38440,114.9201,1,2024-04-19 00:00:09.738
38450,317.9544,1,2024-04-19 00:00:09.738
38460,139.2184,1,2024-04-19 00:00:09.738
38450,125.6005,0,2024-04-19 00:00:14.871
38440,39.4056,0,2024-04-19 00:00:14.871
38420,66.1993,0,2024-04-19 00:00:14.871
38410,27.4801,0,2024-04-19 00:00:14.871
38400,39.5944,0,2024-04-19 00:00:14.871
38500,1.6151,1,2024-04-19 00:00:14.871
38540,31.8755,1,2024-04-19 00:00:14.871
38550,27.4801,1,2024-04-19 00:00:14.871
38560,123.9901,1,2024-04-19 00:00:14.871
38570,27.4801,1,2024-04-19 00:00:14.871
38470,27.4801,0,2024-04-19 00:00:19.978
38460,27.4801,0,2024-04-19 00:00:19.978
38450,1.7763,0,2024-04-19 00:00:19.978
38440,40.5288,0,2024-04-19 00:00:19.978
38410,38.7192,0,2024-04-19 00:00:19.978
38540,25.0718,1,2024-04-19 00:00:19.978
38550,66.3241,1,2024-04-19 00:00:19.978
38560,79.2517,1,2024-04-19 00:00:19.978
38570,66.4801,1,2024-04-19 00:00:19.978
38580,27.4801,1,2024-04-19 00:00:19.978
38510,27.4801,0,2024-04-19 00:00:25.124
38500,66.6361,0,2024-04-19 00:00:25.124
38490,27.4801,0,2024-04-19 00:00:25.124
38480,27.4801,0,2024-04-19 00:00:25.124
38470,38.376,0,2024-04-19 00:00:25.124
38540,22.8269,1,2024-04-19 00:00:25.124
38590,28.4838,1,2024-04-19 00:00:25.124
38600,28.8268,1,2024-04-19 00:00:25.124
38610,28.0169,1,2024-04-19 00:00:25.124
38620,94.6568,1,2024-04-19 00:00:25.124
38540,1,0,2024-04-19 00:00:30.266
38530,38.9688,0,2024-04-19 00:00:30.266
38470,38.376,0,2024-04-19 00:00:30.266
38460,37.8456,0,2024-04-19 00:00:30.266
38450,44.3424,0,2024-04-19 00:00:30.266
38600,1.3467,1,2024-04-19 00:00:30.266
38610,28.0169,1,2024-04-19 00:00:30.266
38620,54.8768,1,2024-04-19 00:00:30.266
38630,72.8324,1,2024-04-19 00:00:30.266
38640,54.7474,1,2024-04-19 00:00:30.266
38540,1,0,2024-04-19 00:00:35.542
38530,38.9688,0,2024-04-19 00:00:35.542
38450,44.3424,0,2024-04-19 00:00:35.542
38430,37.2528,0,2024-04-19 00:00:35.542
38420,22.0928,0,2024-04-19 00:00:35.542
38600,1.3467,1,2024-04-19 00:00:35.542
38610,66.1121,1,2024-04-19 00:00:35.542
38620,92.7224,1,2024-04-19 00:00:35.542
38630,72.8324,1,2024-04-19 00:00:35.542
38640,44.7875,1,2024-04-19 00:00:35.542
38540,1,0,2024-04-19 00:00:40.771
38530,38.9688,0,2024-04-19 00:00:40.771
38450,4.5,0,2024-04-19 00:00:40.771
38430,37.2528,0,2024-04-19 00:00:40.771
38420,40.5288,0,2024-04-19 00:00:40.771
38570,27.4801,1,2024-04-19 00:00:40.771
38580,27.4801,1,2024-04-19 00:00:40.771
38590,66.6985,1,2024-04-19 00:00:40.771
38600,40.4091,1,2024-04-19 00:00:40.771
38610,66.1121,1,2024-04-19 00:00:40.771
38460,78.5541,0,2024-04-19 00:00:45.871
38450,4.5,0,2024-04-19 00:00:45.871
38440,38.9064,0,2024-04-19 00:00:45.871
38430,38.6256,0,2024-04-19 00:00:45.871
38420,40.5288,0,2024-04-19 00:00:45.871
38540,499,1,2024-04-19 00:00:45.871
38570,27.4801,1,2024-04-19 00:00:45.871
38580,27.4801,1,2024-04-19 00:00:45.871
38590,27.4801,1,2024-04-19 00:00:45.871
38600,1.3467,1,2024-04-19 00:00:45.871
38460,40.0608,0,2024-04-19 00:00:51.000
38450,4.5,0,2024-04-19 00:00:51.000
38420,40.5288,0,2024-04-19 00:00:51.000
38400,77.2279,0,2024-04-19 00:00:51.000
38370,54.5862,0,2024-04-19 00:00:51.000
38540,499,1,2024-04-19 00:00:51.000
38560,0.8375,1,2024-04-19 00:00:51.000
38570,27.4801,1,2024-04-19 00:00:51.000
38580,27.4801,1,2024-04-19 00:00:51.000
38590,67.9777,1,2024-04-19 00:00:51.000
38460,40.0608,0,2024-04-19 00:00:56.113
38450,159.94,0,2024-04-19 00:00:56.113
38400,39,0,2024-04-19 00:00:56.113
38390,38.0952,0,2024-04-19 00:00:56.113
38370,2.6448,0,2024-04-19 00:00:56.113
38540,499,1,2024-04-19 00:00:56.113
38550,27.4801,1,2024-04-19 00:00:56.113
38560,0.8375,1,2024-04-19 00:00:56.113
38570,27.4801,1,2024-04-19 00:00:56.113
38580,66.7921,1,2024-04-19 00:00:56.113
38450,144.8692,0,2024-04-19 00:01:01.217
38440,39.156,0,2024-04-19 00:01:01.217
38370,41.0832,0,2024-04-19 00:01:01.217
38350,77.2005,0,2024-04-19 00:01:01.217
38330,340.3807,0,2024-04-19 00:01:01.217
38530,38.2512,1,2024-04-19 00:01:01.217
38540,538.468,1,2024-04-19 00:01:01.217
38550,27.4801,1,2024-04-19 00:01:01.217
38560,0.8375,1,2024-04-19 00:01:01.217
38570,67.7593,1,2024-04-19 00:01:01.217
38450,144.8692,0,2024-04-19 00:01:06.340
38440,39.156,0,2024-04-19 00:01:06.340
38370,40.896,0,2024-04-19 00:01:06.340
38360,38.1576,0,2024-04-19 00:01:06.340
38350,38.2005,0,2024-04-19 00:01:06.340
38540,565.9481,1,2024-04-19 00:01:06.340
38550,27.4801,1,2024-04-19 00:01:06.340
38560,38.6207,1,2024-04-19 00:01:06.340
38570,27.4801,1,2024-04-19 00:01:06.340
38600,1.3467,1,2024-04-19 00:01:06.340
38440,39.156,0,2024-04-19 00:01:11.474
38370,2.6448,0,2024-04-19 00:01:11.474
38350,38.2005,0,2024-04-19 00:01:11.474
38330,116.3885,0,2024-04-19 00:01:11.474
38320,40.7784,0,2024-04-19 00:01:11.474
38510,37.752,1,2024-04-19 00:01:11.474
38520,27.4801,1,2024-04-19 00:01:11.474
38530,36.718,1,2024-04-19 00:01:11.474
38540,565.9481,1,2024-04-19 00:01:11.474
38550,27.4801,1,2024-04-19 00:01:11.474
38440,39.156,0,2024-04-19 00:01:16.603
38370,2.6448,0,2024-04-19 00:01:16.603
38350,77.0445,0,2024-04-19 00:01:16.603
38330,116.3885,0,2024-04-19 00:01:16.603
38320,40.7784,0,2024-04-19 00:01:16.603
38520,27.4801,1,2024-04-19 00:01:16.603
38530,36.718,1,2024-04-19 00:01:16.603
38540,565.9481,1,2024-04-19 00:01:16.603
38550,27.4801,1,2024-04-19 00:01:16.603
38560,0.8375,1,2024-04-19 00:01:16.603
38440,39.156,0,2024-04-19 00:01:21.700
38420,155.804,0,2024-04-19 00:01:21.700
38370,23.7316,0,2024-04-19 00:01:21.700
38350,77.0445,0,2024-04-19 00:01:21.700
38330,116.3885,0,2024-04-19 00:01:21.700
38530,36.718,1,2024-04-19 00:01:21.700
38540,565.9481,1,2024-04-19 00:01:21.700
38550,51.0411,1,2024-04-19 00:01:21.700
38560,0.8375,1,2024-04-19 00:01:21.700
38590,96.51,1,2024-04-19 00:01:21.700
38440,39.156,0,2024-04-19 00:01:26.811
38380,37.44,0,2024-04-19 00:01:26.811
38370,2.6448,0,2024-04-19 00:01:26.811
38350,77.0445,0,2024-04-19 00:01:26.811
38340,100,0,2024-04-19 00:01:26.811
38540,277.8087,1,2024-04-19 00:01:26.811
38550,51.0411,1,2024-04-19 00:01:26.811
38560,38.2775,1,2024-04-19 00:01:26.811
38580,39,1,2024-04-19 00:01:26.811
38590,96.51,1,2024-04-19 00:01:26.811
38450,27.4801,0,2024-04-19 00:01:31.918
38440,39.156,0,2024-04-19 00:01:31.918
38380,37.44,0,2024-04-19 00:01:31.918
38370,2.6448,0,2024-04-19 00:01:31.918
38360,21.8831,0,2024-04-19 00:01:31.918
38530,26.004,1,2024-04-19 00:01:31.918
38540,277.8087,1,2024-04-19 00:01:31.918
38550,27.4801,1,2024-04-19 00:01:31.918
38560,38.2775,1,2024-04-19 00:01:31.918
38580,39,1,2024-04-19 00:01:31.918
38450,27.4801,0,2024-04-19 00:01:37.020
38440,39.156,0,2024-04-19 00:01:37.020
38380,37.44,0,2024-04-19 00:01:37.020
38370,25.9357,0,2024-04-19 00:01:37.020
38350,38.844,0,2024-04-19 00:01:37.020
38520,636.6163,1,2024-04-19 00:01:37.020
38530,26.004,1,2024-04-19 00:01:37.020
38540,277.8087,1,2024-04-19 00:01:37.020
38550,27.4801,1,2024-04-19 00:01:37.020
38560,38.2775,1,2024-04-19 00:01:37.020
38450,27.4801,0,2024-04-19 00:01:42.125
38440,39.156,0,2024-04-19 00:01:42.125
38380,37.44,0,2024-04-19 00:01:42.125
38370,2.6448,0,2024-04-19 00:01:42.125
38360,22.0426,0,2024-04-19 00:01:42.125
38510,222.89,1,2024-04-19 00:01:42.125
38520,636.6163,1,2024-04-19 00:01:42.125
38530,526.004,1,2024-04-19 00:01:42.125
38540,277.8087,1,2024-04-19 00:01:42.125
38550,27.4801,1,2024-04-19 00:01:42.125
38450,14.4761,0,2024-04-19 00:01:47.256
38440,39.156,0,2024-04-19 00:01:47.256
38380,37.44,0,2024-04-19 00:01:47.256
38370,2.6448,0,2024-04-19 00:01:47.256
38350,88.844,0,2024-04-19 00:01:47.256
38510,221.2179,1,2024-04-19 00:01:47.256
38520,636.6163,1,2024-04-19 00:01:47.256
38530,526.004,1,2024-04-19 00:01:47.256
38540,277.8087,1,2024-04-19 00:01:47.256
38550,27.4801,1,2024-04-19 00:01:47.256
38450,14.4761,0,2024-04-19 00:01:52.362
38440,39.156,0,2024-04-19 00:01:52.362
38380,37.44,0,2024-04-19 00:01:52.362
38370,2.6448,0,2024-04-19 00:01:52.362
38350,88.844,0,2024-04-19 00:01:52.362
38510,221.2179,1,2024-04-19 00:01:52.362
38520,636.6163,1,2024-04-19 00:01:52.362
38530,526.004,1,2024-04-19 00:01:52.362
38540,277.8087,1,2024-04-19 00:01:52.362
38550,27.4801,1,2024-04-19 00:01:52.362
38450,14.4761,0,2024-04-19 00:01:57.463
38440,39.156,0,2024-04-19 00:01:57.463
38380,37.44,0,2024-04-19 00:01:57.463
38370,2.6448,0,2024-04-19 00:01:57.463
38350,88.844,0,2024-04-19 00:01:57.463
38510,221.2179,1,2024-04-19 00:01:57.463
38520,636.6163,1,2024-04-19 00:01:57.463
38530,526.004,1,2024-04-19 00:01:57.463
38540,277.8087,1,2024-04-19 00:01:57.463
38550,27.4801,1,2024-04-19 00:01:57.463
38450,20,0,2024-04-19 00:02:02.611
38440,39.156,0,2024-04-19 00:02:02.611
38430,155.763,0,2024-04-19 00:02:02.611
38380,37.44,0,2024-04-19 00:02:02.611
38370,2.6448,0,2024-04-19 00:02:02.611
38510,221.2179,1,2024-04-19 00:02:02.611
38530,526.004,1,2024-04-19 00:02:02.611
38540,277.8087,1,2024-04-19 00:02:02.611
38550,27.4801,1,2024-04-19 00:02:02.611
38560,0.8375,1,2024-04-19 00:02:02.611
38450,20,0,2024-04-19 00:02:07.741
38440,39.156,0,2024-04-19 00:02:07.741
38380,37.44,0,2024-04-19 00:02:07.741
38370,2.6448,0,2024-04-19 00:02:07.741
38350,88.844,0,2024-04-19 00:02:07.741
38510,221.2179,1,2024-04-19 00:02:07.741
38530,526.004,1,2024-04-19 00:02:07.741
38540,277.8087,1,2024-04-19 00:02:07.741
38550,27.4801,1,2024-04-19 00:02:07.741
38560,0.8375,1,2024-04-19 00:02:07.741
38410,155.844,0,2024-04-19 00:02:12.835
38370,2.6448,0,2024-04-19 00:02:12.835
38360,519.481,0,2024-04-19 00:02:12.835
38340,100,0,2024-04-19 00:02:12.835
38320,39,0,2024-04-19 00:02:12.835
38440,476.0795,1,2024-04-19 00:02:12.835
38510,286.2628,1,2024-04-19 00:02:12.835
38520,38.0328,1,2024-04-19 00:02:12.835
38530,567.5,1,2024-04-19 00:02:12.835
38540,777.8087,1,2024-04-19 00:02:12.835
38410,155.844,0,2024-04-19 00:02:17.934
38370,2.6448,0,2024-04-19 00:02:17.934
38360,519.481,0,2024-04-19 00:02:17.934
38320,39.6552,0,2024-04-19 00:02:17.934
38310,46.9246,0,2024-04-19 00:02:17.934
38440,475.8622,1,2024-04-19 00:02:17.934
38490,27.4801,1,2024-04-19 00:02:17.934
38510,286.2628,1,2024-04-19 00:02:17.934
38520,65.5129,1,2024-04-19 00:02:17.934
38530,500,1,2024-04-19 00:02:17.934
38410,148.3932,0,2024-04-19 00:02:23.023
38370,2.6448,0,2024-04-19 00:02:23.023
38360,519.481,0,2024-04-19 00:02:23.023
38320,39.6552,0,2024-04-19 00:02:23.023
38310,46.9246,0,2024-04-19 00:02:23.023
38440,475.8622,1,2024-04-19 00:02:23.023
38490,66.3553,1,2024-04-19 00:02:23.023
38500,37.9704,1,2024-04-19 00:02:23.023
38510,286.2628,1,2024-04-19 00:02:23.023
38520,65.5129,1,2024-04-19 00:02:23.023
38410,148.3932,0,2024-04-19 00:02:28.469
38370,2.6448,0,2024-04-19 00:02:28.469
38360,519.481,0,2024-04-19 00:02:28.469
38320,38.0952,0,2024-04-19 00:02:28.469
38310,46.9246,0,2024-04-19 00:02:28.469
38440,475.8622,1,2024-04-19 00:02:28.469
38490,27.4801,1,2024-04-19 00:02:28.469
38500,37.9704,1,2024-04-19 00:02:28.469
38510,286.2628,1,2024-04-19 00:02:28.469
38520,27.4801,1,2024-04-19 00:02:28.469
38370,2.6448,0,2024-04-19 00:02:33.582
38320,311.1623,0,2024-04-19 00:02:33.582
38310,46.9246,0,2024-04-19 00:02:33.582
38300,0.5695,0,2024-04-19 00:02:33.582
38290,119.2412,0,2024-04-19 00:02:33.582
38440,475.8622,1,2024-04-19 00:02:33.582
38480,66.5425,1,2024-04-19 00:02:33.582
38490,65.8249,1,2024-04-19 00:02:33.582
38500,37.9704,1,2024-04-19 00:02:33.582
38510,286.2628,1,2024-04-19 00:02:33.582
38410,30,0,2024-04-19 00:02:38.716
38400,155.723,0,2024-04-19 00:02:38.716
38370,2.6448,0,2024-04-19 00:02:38.716
38350,519.076,0,2024-04-19 00:02:38.716
38320,38.0952,0,2024-04-19 00:02:38.716
38440,475.8622,1,2024-04-19 00:02:38.716
38480,66.5425,1,2024-04-19 00:02:38.716
38490,65.8249,1,2024-04-19 00:02:38.716
38500,37.9704,1,2024-04-19 00:02:38.716
38510,65.0449,1,2024-04-19 00:02:38.716
38410,30,0,2024-04-19 00:02:43.842
38400,155.723,0,2024-04-19 00:02:43.842
38370,2.6448,0,2024-04-19 00:02:43.842
38350,519.076,0,2024-04-19 00:02:43.842
38340,39.5616,0,2024-04-19 00:02:43.842
38440,473.6768,1,2024-04-19 00:02:43.842
38450,20,1,2024-04-19 00:02:43.842
38490,65.8249,1,2024-04-19 00:02:43.842
38500,37.9704,1,2024-04-19 00:02:43.842
38510,65.0449,1,2024-04-19 00:02:43.842
38410,30,0,2024-04-19 00:02:49.215
38400,155.723,0,2024-04-19 00:02:49.215
38370,2.6448,0,2024-04-19 00:02:49.215
38350,519.076,0,2024-04-19 00:02:49.215
38340,139.5616,0,2024-04-19 00:02:49.215
38440,465.8725,1,2024-04-19 00:02:49.215
38450,20,1,2024-04-19 00:02:49.215
38490,65.8249,1,2024-04-19 00:02:49.215
38500,37.9704,1,2024-04-19 00:02:49.215
38510,65.0449,1,2024-04-19 00:02:49.215
38410,28.3471,0,2024-04-19 00:02:54.476
38400,155.723,0,2024-04-19 00:02:54.476
38370,2.6448,0,2024-04-19 00:02:54.476
38350,539.4567,0,2024-04-19 00:02:54.476
38340,139.5616,0,2024-04-19 00:02:54.476
38440,465.8725,1,2024-04-19 00:02:54.476
38450,20,1,2024-04-19 00:02:54.476
38490,65.8249,1,2024-04-19 00:02:54.476
38500,37.9704,1,2024-04-19 00:02:54.476
38510,65.0449,1,2024-04-19 00:02:54.476
38410,28.3471,0,2024-04-19 00:02:59.607
38400,155.723,0,2024-04-19 00:02:59.607
38370,2.6448,0,2024-04-19 00:02:59.607
38350,519.076,0,2024-04-19 00:02:59.607
38340,139.5616,0,2024-04-19 00:02:59.607
38440,465.8725,1,2024-04-19 00:02:59.607
38450,20,1,2024-04-19 00:02:59.607
38490,65.8249,1,2024-04-19 00:02:59.607
38500,37.9704,1,2024-04-19 00:02:59.607
38510,65.0449,1,2024-04-19 00:02:59.607
38410,28.3471,0,2024-04-19 00:03:04.716
38390,38.5944,0,2024-04-19 00:03:04.716
38380,37.8456,0,2024-04-19 00:03:04.716
38370,40.3032,0,2024-04-19 00:03:04.716
38360,40.1544,0,2024-04-19 00:03:04.716
38440,49.7594,1,2024-04-19 00:03:04.716
38450,20,1,2024-04-19 00:03:04.716
38530,500,1,2024-04-19 00:03:04.716
38540,315.4983,1,2024-04-19 00:03:04.716
38550,27.4801,1,2024-04-19 00:03:04.716
38400,155.723,0,2024-04-19 00:03:10.049
38390,56.804,0,2024-04-19 00:03:10.049
38370,240.521,0,2024-04-19 00:03:10.049
38360,36.6912,0,2024-04-19 00:03:10.049
38350,38.308,0,2024-04-19 00:03:10.049
38530,539.9048,1,2024-04-19 00:03:10.049
38540,288.8918,1,2024-04-19 00:03:10.049
38550,96.5873,1,2024-04-19 00:03:10.049
38560,0.8375,1,2024-04-19 00:03:10.049
38570,27.4801,1,2024-04-19 00:03:10.049
38410,30,0,2024-04-19 00:03:15.154
38370,40.8336,0,2024-04-19 00:03:15.154
38360,37.6584,0,2024-04-19 00:03:15.154
38340,42.6816,0,2024-04-19 00:03:15.154
38330,59.8244,0,2024-04-19 00:03:15.154
38510,62.9489,1,2024-04-19 00:03:15.154
38520,64.9513,1,2024-04-19 00:03:15.154
38530,567.3849,1,2024-04-19 00:03:15.154
38540,250.3286,1,2024-04-19 00:03:15.154
38550,27.4801,1,2024-04-19 00:03:15.154
38430,30,0,2024-04-19 00:03:20.263
38420,155.723,0,2024-04-19 00:03:20.263
38370,543.1736,0,2024-04-19 00:03:20.263
38360,37.6584,0,2024-04-19 00:03:20.263
38340,42.6816,0,2024-04-19 00:03:20.263
38520,37.4712,1,2024-04-19 00:03:20.263
38530,567.3849,1,2024-04-19 00:03:20.263
38540,250.3286,1,2024-04-19 00:03:20.263
38550,27.4801,1,2024-04-19 00:03:20.263
38560,0.8375,1,2024-04-19 00:03:20.263
38430,21.4631,0,2024-04-19 00:03:25.388
38420,155.723,0,2024-04-19 00:03:25.388
38370,543.1736,0,2024-04-19 00:03:25.388
38360,37.6584,0,2024-04-19 00:03:25.388
38350,100,0,2024-04-19 00:03:25.388
38520,37.4712,1,2024-04-19 00:03:25.388
38530,567.3849,1,2024-04-19 00:03:25.388
38540,250.3286,1,2024-04-19 00:03:25.388
38550,27.4801,1,2024-04-19 00:03:25.388
38560,0.8375,1,2024-04-19 00:03:25.388
38430,16.4286,0,2024-04-19 00:03:30.495
38420,155.723,0,2024-04-19 00:03:30.495
38370,543.1736,0,2024-04-19 00:03:30.495
38360,37.6584,0,2024-04-19 00:03:30.495
38350,123.3249,0,2024-04-19 00:03:30.495
38520,37.4712,1,2024-04-19 00:03:30.495
38530,567.3849,1,2024-04-19 00:03:30.495
38540,250.3286,1,2024-04-19 00:03:30.495
38550,27.4801,1,2024-04-19 00:03:30.495
38560,0.8375,1,2024-04-19 00:03:30.495
38430,16.4286,0,2024-04-19 00:03:35.589
38420,155.723,0,2024-04-19 00:03:35.589
38370,502.6448,0,2024-04-19 00:03:35.589
38360,37.6584,0,2024-04-19 00:03:35.589
38340,42.6816,0,2024-04-19 00:03:35.589
38510,67.0417,1,2024-04-19 00:03:35.589
38520,64.9513,1,2024-04-19 00:03:35.589
38530,567.3849,1,2024-04-19 00:03:35.589
38540,250.3286,1,2024-04-19 00:03:35.589
38550,27.4801,1,2024-04-19 00:03:35.589
38430,16.4286,0,2024-04-19 00:03:40.699
38420,155.723,0,2024-04-19 00:03:40.699
38370,502.6448,0,2024-04-19 00:03:40.699
38360,37.6584,0,2024-04-19 00:03:40.699
38340,42.6816,0,2024-04-19 00:03:40.699
38510,67.0417,1,2024-04-19 00:03:40.699
38520,64.9513,1,2024-04-19 00:03:40.699
38530,567.3849,1,2024-04-19 00:03:40.699
38540,250.3286,1,2024-04-19 00:03:40.699
38550,27.4801,1,2024-04-19 00:03:40.699
38430,16.4286,0,2024-04-19 00:03:45.849
38420,155.723,0,2024-04-19 00:03:45.849
38370,502.6448,0,2024-04-19 00:03:45.849
38360,37.6584,0,2024-04-19 00:03:45.849
38340,66.4312,0,2024-04-19 00:03:45.849
38510,67.0417,1,2024-04-19 00:03:45.849
38520,64.9513,1,2024-04-19 00:03:45.849
38530,567.3849,1,2024-04-19 00:03:45.849
38540,250.3286,1,2024-04-19 00:03:45.849
38550,27.4801,1,2024-04-19 00:03:45.849
38430,16.4286,0,2024-04-19 00:03:50.989
38420,155.723,0,2024-04-19 00:03:50.989
38370,502.6448,0,2024-04-19 00:03:50.989
38360,37.6584,0,2024-04-19 00:03:50.989
38340,42.6816,0,2024-04-19 00:03:50.989
38510,67.0417,1,2024-04-19 00:03:50.989
38520,64.9513,1,2024-04-19 00:03:50.989
38530,567.3849,1,2024-04-19 00:03:50.989
38540,250.3286,1,2024-04-19 00:03:50.989
38550,27.4801,1,2024-04-19 00:03:50.989
38430,16.4286,0,2024-04-19 00:03:56.088
38420,155.723,0,2024-04-19 00:03:56.088
38370,512.2267,0,2024-04-19 00:03:56.088
38360,37.596,0,2024-04-19 00:03:56.088
